,JPN,USA,FRA,ITA,DEU,ESP,KOR,SCH,TCH
1,あくしゅう,Stench,Puanteur,Tanfo,Duftnote,Hedor,악취,恶臭,惡臭
2,あめふらし,Drizzle,Crachin,Piovischio,Niesel,Llovizna,잔비,降雨,降雨
3,かそく,Speed Boost,Turbo,Acceleratore,Temposchub,Impulso,가속,加速,加速
4,カブトアーマー,Battle Armor,Armurbaston,Lottascudo,Kampfpanzer,Armadura Batalla,전투무장,战斗盔甲,戰鬥盔甲
5,がんじょう,Sturdy,Fermeté,Vigore,Robustheit,Robustez,옹골참,结实,結實
6,しめりけ,Damp,Moiteur,Umidità,Feuchtigkeit,Humedad,습기,湿气,濕氣
7,じゅうなん,Limber,Échauffement,Scioltezza,Flexibilität,Flexibilidad,유연,柔软,柔軟
8,すながくれ,Sand Veil,Voile Sable,Sabbiavelo,Sandschleier,Velo Arena,모래숨기,沙隐,沙隱
9,せいでんき,Static,Statik,Statico,Statik,Elec. Estática,정전기,静电,靜電
10,ちくでん,Volt Absorb,Absorbe-Volt,Assorbivolt,Voltabsorber,Absorbe Elec,축전,蓄电,蓄電
11,ちょすい,Water Absorb,Absorbe-Eau,Assorbacqua,H2O-Absorber,Absorbe Agua,저수,储水,儲水
12,どんかん,Oblivious,Benêt,Indifferenza,Dösigkeit,Despiste,둔감,迟钝,遲鈍
13,ノーてんき,Cloud Nine,Ciel Gris,Antimeteo,Wolke Sieben,Aclimatación,날씨부정,无关天气,無關天氣
14,ふくがん,Compound Eyes,Œil Composé,Insettocchi,Facettenauge,Ojo Compuesto,복안,复眼,複眼
15,ふみん,Insomnia,Insomnia,Insonnia,Insomnia,Insomnio,불면,不眠,不眠
16,へんしょく,Color Change,Homochromie,Cambiacolore,Farbwechsel,Cambio Color,변색,变色,變色
17,めんえき,Immunity,Vaccin,Immunità,Immunität,Inmunidad,면역,免疫,免疫
18,もらいび,Flash Fire,Torche,Fuocardore,Feuerfänger,Absorbe Fuego,타오르는불꽃,引火,引火
19,りんぷん,Shield Dust,Écran Poudre,Polvoscudo,Puderabwehr,Polvo Escudo,인분,鳞粉,鱗粉
