,JPN,USA,FRA,ITA,DEU,ESP,KOR,SCH,TCH
1,はたく,Pound,Écras'Face,Botta,Klaps,Destructor,막치기,拍击,拍擊
2,からてチョップ,Karate Chop,Poing Karaté,Colpokarate,Karateschlag,Golpe Kárate,태권당수,空手劈,空手劈
3,おうふくビンタ,Double Slap,Torgnoles,Doppiasberla,Duplexhieb,Doble Bofetón,연속뺨치기,连环巴掌,連環巴掌
4,れんぞくパンチ,Comet Punch,Poing Comète,Cometapugno,Kometenhieb,Puño Cometa,연속펀치,连续拳,連續拳
5,メガトンパンチ,Mega Punch,Ultimapoing,Megapugno,Megahieb,Megapuño,메가톤펀치,百万吨重拳,百萬噸重拳
6,ネコにこばん,Pay Day,Jackpot,Giornopaga,Zahltag,Día de Pago,고양이돈받기,聚宝功,聚寶功
7,ほのおのパンチ,Fire Punch,Poing Feu,Fuocopugno,Feuerschlag,Puño Fuego,불꽃펀치,火焰拳,火焰拳
8,れいとうパンチ,Ice Punch,Poing Glace,Gelopugno,Eishieb,Puño Hielo,냉동펀치,冰冻拳,冰凍拳
9,かみなりパンチ,Thunder Punch,Poing Éclair,Tuonopugno,Donnerschlag,Puño Trueno,번개펀치,雷电拳,雷電拳
10,ひっかく,Scratch,Griffe,Graffio,Kratzer,Arañazo,할퀴기,抓,抓
11,はさむ,Vise Grip,Force Poigne,Presa,Klammer,Agarre,찝기,夹住,夾住
12,ハサミギロチン,Guillotine,Guillotine,Ghigliottina,Guillotine,Guillotina,가위자르기,极落钳,斷頭鉗
13,かまいたち,Razor Wind,Coupe-Vent,Ventagliente,Klingensturm,Viento Cortante,칼바람,旋风刀,旋風刀
14,つるぎのまい,Swords Dance,Danse Lames,Danzaspada,Schwerttanz,Danza Espada,칼춤,剑舞,劍舞
15,いあいぎり,Cut,Coupe,Taglio,Zerschneider,Corte,풀베기,居合劈,居合斬
16,かぜおこし,Gust,Tornade,Raffica,Windstoß,Tornado,바람일으키기,起风,起風
17,つばさでうつ,Wing Attack,Cru-Ailes,Attacco d'Ala,Flügelschlag,Ataque Ala,날개치기,翅膀攻击,翅膀攻擊
18,ふきとばし,Whirlwind,Cyclone,Turbine,Wirbelwind,Remolino,날려버리기,吹飞,吹飛
19,そらをとぶ,Fly,Vol,Volo,Fliegen,Vuelo,공중날기,飞翔,飛翔
20,しめつける,Bind,Étreinte,Legatutto,Klammergriff,Atadura,조이기,绑紧,綁緊
21,たたきつける,Slam,Souplesse,Schianto,Slam,Atizar,힘껏치기,摔打,摔打
22,つるのムチ,Vine Whip,Fouet Lianes,Frustata,Rankenhieb,Látigo Cepa,덩굴채찍,藤鞭,藤鞭
23,ふみつけ,Stomp,Écrasement,Pestone,Stampfer,Pisotón,짓밟기,踩踏,踩踏
24,にどげり,Double Kick,Double Pied,Doppiocalcio,Doppelkick,Doble Patada,두번차기,二连踢,二連踢
25,メガトンキック,Mega Kick,Ultimawashi,Megacalcio,Megakick,Megapatada,메가톤킥,百万吨重踢,百萬噸重踢
26,とびげり,Jump Kick,Pied Sauté,Calciosalto,Sprungkick,Patada Salto,점프킥,飞踢,飛踢
27,まわしげり,Rolling Kick,Mawashi Geri,Calciorullo,Fegekick,Patada Giro,돌려차기,回旋踢,迴旋踢
